,en,hypothesis,reference,score
10,Who Runs the Egg Account on Instagram? New Details May Crack the Case,Yini Ukulungiselela I-Egg Account kwi-Instagram? I-New Details May Crack the Case,Ubani olawula i-Akhawunti Yesikhashana (i-Egg Account) ku-Instagram? Imininingwane Emisha Ingase Iixazulule Icala,0.0
11,"The event took place on Thursday in Los Angeles with Light, 70, being honored with the 2,673rd star. The actress, who has enjoyed a successful career in television, received the star due to her stage work.","I-event kuqala ngoLwesihlanu e-Los Angeles nge-Light, i-70, ngokulinganiswa kwe-2,673rd star. I-actress, okuyinto kuqala ukucwalisa kwe-television, akuthumela i-star ngokulinganiswa kwe-stage work.","Umcimbi wabanjwa ngoLwesine eLos Angeles lapho uLight, 70, ahlonishwa ngenkanyezi yezi-2,673. Umlingisi, osesebenze iminyaka eminingi ngempumelelo kuthelevishini, uthole inkanyezi ngenxa yomsebenzi wakhe wasesteji.",0.4070036732530509
12,"""""""We are excited that this tool has proven useful to guide local restoration efforts such as the Swan Island Oyster Sanctuary restoration project currently underway in North Carolina,"""" Theuerkauf says. """"The beauty of this model and approach is that it can be modified for use in a number of different habitat restoration efforts -- such as mangrove restoration in Florida, where the benefits the habitat provides are different from those of oyster reefs, but similarly very valuable.""""""","""Wagqibela ukujabulisa ukuthi isixhumanisi kuyinto usayizi ukujabulisa isitimela ezifana Swan Island Oyster Sanctuary ukujabulisa isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela isitimela","""""""Siyakujabulela ukuthi le nsiza ibonakalile ukuthi izosiza ukuhola ukuvuselelwa kwe-Swan Island Oyster Sanctuary kwasendaweni oqhubekayo njengamanje eNorth Carolina,"""" kusho uTheuerkauf.  """"Okuhle ngalolu hlelo nendlelakwenza wukuthi ingalungiselelwa ukusetshenziswa ezindaweni zokuhlala ezahlukene zokubuyisa -- njengokubuyiselwa kwezihlahla ze-mangrove eFlorida, lapho izinzuzo ezihlinzekwa yileyo ndawo zehlukile kunalezo zothunge lwembada, kodwa nazo zibaluleke ngokufanayo."""" """,0.07263391827308549
13,Everything I do is for my family and my family's future. I have picked myself up and got through difficult times to get to where I am today. It's been the making of me.,All I do is for my family and my family’s future. Ngokuqala kwakhona futhi kwangaphakathi izinsuku ezininzi ukuze kuqala lapho ndiza. It was the making of me.,Yonke into engiyenzayo ngiyenzela umndeni wami kanye nekusasa lomndeni wami. Ngizithintithile ngadlula ezikhathini ezinzima ukuze ngifike lapho ngikhona namuhla. Yikho okungakhile.,0.5216948600244291
14,"""""""I think there is a big possibility that we have chemicals now on the market that have not been sufficiently checked,"""" Maier, who is the director of the German NGO Forum on Environment and Development, said in an interview with RT.""","""Ndini inguqulelo kakhulu ukuthi inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo inguqulelo","""""""Ngicabanga ukuthi kunamathuba amakhulu okuthi manje sesinamakhemikhala ezimakethe angakahlolwa ngokwanele,"""" wuMaier, ongumqondisi we-German NGO Forum on Environment and Development, esho kwinkulumo-mpendulwano no-RT.""",0.4518010018049224
15,"Will Faye survive her Holby City stay, or is a tragic end in store for her?","I-Faye ithalwe i-Holby City ibhizinisi, noma ithalwe i-Tragic end i-Store?","Ingabe uFaye uzokwazi ukuhlala eHolby City, noma angase abe nesiphetho esibuhlungu esimlindile?",0.4604061366599648
16,READ MORE: Sophie and Edward's decision that stands them out from other royals,I-Sophie kanye ne-Edward kuyinto ibhizinisi yangaphakathi ze-Royals,FUNDA KABANZI: Isinqumo sikaSophie no-Edward esibenza bahluke kakhulu kunabanye abantu basendlunkulu,0.0
17,"Rosario, based at Saratoga in New York for the summer, made the right choice to spend the weekend at Del Mar. He escaped the brutal heat that forced the cancellation of Saturday's card at Saratoga, and he backed up the San Diego win with a victory four races later in the Grade II $200,000 San Clemente Stakes aboard Mucho Unusual.","I-Rosario, okuyinto e-Saratoga e-New York for the summer, ingakufundiswa ngokushesha ku-weekend e-Del Mar. I-Rosario ingakufundiswa ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha ngokushesha.","URosario, oseSaratoga eNew York ngesikhathi sasehlobo, uthathe isinqumo esifanele sokuchitha impelasonto eDel Mar. Uphunyuke ekushiseni okubi okuphoqe ukusulwa kwekhadi langoMgqibelo eSaratoga, futhi unqobile eSan Diego emincintiswaneni emine ngokuhamba kwesikhathi kuBanga II $200,000 San Clemente Stakes egibele iMucho Unusual.",0.4487611440516776
18,Nov. 13 (UPI) -- Firefighters in Australia have gained attention for leaving a note apologizing for drinking a man's milk after they saved his house from a wildfire.,13 Nov. (UPI) - I-Firefighters e-Australia zithunyelwe ukuthi zithunyelwe umbhalo ngokuvamile ngokuvamile ngokuvamile ngokuvamile ngokuvamile.,Nov. 13 (UPI) -- Izicishamlilo zase-Australia zizidonsele amehlo ngokushiya incwadi zixolisa ngokuphuza ubisi lwendoda ethile emuva kokusiza emzini wayo omusha.,0.4791733671582712
19,"It's likely that more people will swap meat canapés for things such as M&S's No-Pork Pigs in Duvets, or add a vegan option alongside meat at large gatherings.",I-M&S ye-No-Pork Pigs ye-Duvets ye-M&S ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan ye-Vegan.,"Kungase kwenzeke ukuthi abantu bazoshintshisana ngenyama ezintweni ezinjenge-M&S Engenayo Inyama Yengulube Ekudleni Okunezembozo, noma ukhethe ukufaka okungasiyo nhlobo inyama kuhambisana nenyama emicimbini emikhulu. ",0.0
20,What is a haka?,Yintoni Yintoni Yintoni,Yini i-haka?,0.0
21,When a conservative student literally gets punched in the face and it's caught on video it barely makes a ripple.,"Uma i-student ye-conservative isibakane ngokuvamile ku-face futhi isibakane ku-video, akufaka i-ripple.",Uma umfundi ozothile ashaywe ngesibhakela ebusweni bese kuthwetshulwe kuvidiyo leyo vidiyo ayibi undabuzekwayo.,0.4578141331660858
22,We have been sent some pretty appalling material,Sishayele ngamanzi ngamanzi ngamanzi,Sithunyelelwe izinto ezethusa kakhulu,0.0
23,Min was not alone in his criticism of Kim. South Korean commenters online had been suggesting the first lady's choice of jewelry resembled the anti-THAAD pins of activist groups.,I-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim ye-Kim.,UMin bengayedwa ekugxekeni uKim. Abaphawula ngezindaba zaseNingizimu neKorea ku-inthanethi bebethi ubucwebe obukhethwa umama wesizwe bufana nezimpawu zamaqembu ezishoshovu ezilwisana ne-THAAD.,0.0
24,The election will have an effect on the high street because there is a lot of doubt and people don't know what is going to happen... people are just battening down the hatches and holding on to what they have got.,Ukuhlobisa kuyinto imiphumela ku high street because there's a lot of doubt and people don't know what's going to happen... umntu is just shake down the hatches and hold on to what they've got.,Ukhetho luzoba nomthelela emgwaqweni omkhulu ngoba kunongabazane olukhulu futhi abantu abakwazi okuzokwenzeka... abantu bazilungiselela ubunzima obuzayo futhi bambelela kulokho abanakho okwezikhali zamaNtungwa.,0.0
25,"Then, slowly crawling back towards the limelight, she joined Radio 2, presenting an early morning weekend show in 2012. She now has the midnight to 2am Saturday slot.","Sishayele, ngokushesha ukwelashwa ku-limelight, akufaka iRadio 2, ukwakhiwa ukwelashwa lokushisa lokushisa lokushisa lokushisa lokushisa lokushisa lokushisa lokushisa.","Bese, kancane kancane ebuyela ekukhanyeni, ujoyina iRadio 2, wethula uhlelo lwasekuseni kakhulu ngezimpelasonto ngowezi-2012. Manje sengena ohlelweni lwasezinzulwini zobusuku kuya ku-2am ngoMgqibelo.",0.21821349327029804
26,"FBI personnel pass a ticket booth at the Gilroy Garlic Festival Monday, July 29, 2019 in Calif., the morning after a gunman killed at least three people, including a 6-year-old boy, and wounding about 15 others. A law enforcement official identified the gunman, who was shot and killed by police, as Santino William Legan. (AP Photo/Noah Berger) (Noah Berger/AP)",I-FBI i-Gilroy Garlic Festival i-Gilroy Garlic Festival i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-Gilroy Garlic i-G,"Abasebenzi be-FBI badlula indawo yokuthenga amathikithi eGilroy Garlic Festival Monday, kuNtulikazi 29, 2019 eCalif., ekuseni emuva kokuba indoda ebihlome ngesibhamu ibulale okungenani abantu abathathu, okubandakanya umfana oneminyaka eyisi-6, bese walimaza nabanye abayi-15. Umsebenzi wezokuphoqelela umsebenzi uhlonze indoda ebihlome ngesibhamu, eyadutshulwa amaphoyisa yafa, ngokuthi uSantino William Legan. (AP Isithombe/Noah Berger) (Noah Berger/AP)",0.15683095484362802
27,"""I have always challenged schools to use taxpayers"""" money as effectively as possible.""""""","""Nikwazi ungaphendula isitimela ukuze usebenzise ""ngaphendula"" ""ngaphendula"" ""ngaphendula"".","""Bengihlala ngiphosela izikole inselele yokusebenzisa """"imali yabakhokhintela ngempumelelo.""""""",0.0
28,Potentially those two players are players that you would talk about if you were picking a team right now.,I-Potentially the two players are players that you would talk about if you were picking a team right now.,Kunamathuba okuthi labo badlali ababili bangabadlali ongaxoxa ngabo uma ukhetha iqembu njengamanje.,0.0
29,Southwest Airline's statement:,Ukubonisa Southwest Airline:,isitatimende senkampani yezindiza i-Southwest Airline:,0.39011264866539486
30,We need to create a transport system that is zero carbon in only a few years.,Sishayele ukuvelisa isixhumanisi isikhwama isikhwama isikhwama isikhwama isikhwama isikhwama isikhwama isikhwama isikhwama isikhwama,Sidinga ukwenza uhlelo lwezokuthutha olungayisebenzisi nhlobo ikhabhoni eminyakeni embalwa ezayo.,0.0
31,"The woman said the family lost a loved one recently and that took a toll, but they were good neighbors.",I-Woman wathi kwama-family kuquka kuquka kuquka kuquka kuquka kuquka kuquka kuquka kuquka kuquka kuquka.,"Owesimame uthe umndeni usanda kuhanjelwa othandiweyo futhi lokho kwawulimaza kakhulu, kodwa babengomakhelwane abalungile.",0.0
32,Mrs. Kathy Warden and Mr. Eric Warden,I-Kathy Warden kanye ne-Eric Warden,Nkk. Kathy Warden noMnu. Eric Warden,0.6511126026643229
33,All these technologies and innovations are focused on providing real-time measurable value to the patient and healthcare institution.,Zonke izixhumanisi futhi izixhumanisi zokusekelwe ukunikeza imikhiqizo imikhiqizo imikhiqizo imikhiqizo imikhiqizo imikhiqizo imikhiqizo.,Bonke lobu buchwepheshe namasu amasha kugxile ekuhlinzekeni ngesilinganiso sokuklala sesikhathi sangempela esigulini nasesikhungweni sezempilo.,0.0
34,"Liverpool are six points clear of Pep Guardiola's champions at the top of the table after winning nine of their opening ten matches. Earlier this month, the Reds dropped points for the first time when they drew 1-1 with Manchester United at Old Trafford.","I-Liverpool kuyinto iintsuku ze-Pep Guardiola kwi-top of the table after winning nine of their opening ten matches. Okokuqala ngenyanga, i-Reds kuyinto iintsuku ekupheleni ku-1 ku-Manchester United e-Old Trafford.","I-Liverpool inamaphuzu ayisithupha ukuze ibe ngoshampeni be-Pep Guardiola phezulu kwithebhula emuva kokunqoba emidlalweni eyishishiyagalolunye emidlalweni eyishumi yokuvula. Ekuqaleni kwale nyanga, ama-Reds alahla amaphuzu okokuqala lapho edlala ngokulingana ne-Manchester United kwaba u-1-1 e-Old Trafford.",0.23853903947859964
35,The family had to set up a P.O. box because their mailbox was overwhelmed.,I-Family kufanele ufake i-P.O. i-cock because their mailbox was overwhelmed.,Umndeni kwadingeka ukuba uvule i-P.O box ngoba ibhokisi lawo lephosi beligcwala kakhulu.,0.0
36,Anyone remember the financial crisis?,Ngaba ufuna ukufikelela i-financy crisis?,Ingabe ukhona okhumbula isikhathi senkinga yezezimali?,0.0
37,"""Despite this alternative saying, """"fix und fertig"""" remains the most common form of the sayings amongst Germans.""","Ngaphezu kwalokho, ""Fix und fertig"" kuyinto umthamo ezininzi ezininzi we-German.","""Yize kunalokho okunye okushiwoyo, """"i-fix und fertig"""" isaqhubeka nokuba yisisho esidume kakhulu phakathi kwamaJalimani.""",0.3769486629893372
38,"In terms of the imaging capabilities, Honor 20s houses a triple rear camera setup with a 48-megapixel primary shooter with f/1.8 aperture, an 8-megapixel f/2.4 wide-angle camera, and a 2-megapixel depth sensor with an f/2.4 lens.","Ngokutsho imikhiqizo, i-Honor 20s inikeza i-three back camera setup nge 48-megapixel primary shooter with f/1.8 opening, i-f/2.4 wide-angle camera 8 megapixel, kanye ne-2 megapixel depth sensor with a f/2.4 lens.","Ngokwamandla ezithombe, i-Honor 20s inezindlela zokuhlela ikhamera ezingavamile eziphindeke kathathu ezinhlelo zokuthatha izithombe okuyisisekelo okungu-48-megapixel ene-f/1.8 aperture, ikhamera ene-engela ebanzi engu-8-megapixel f/2.4, kanye nenzwa yokujula engu-2-megapixel enamalensi angu-f/2.4.",0.24232627169060797
39,"Last week, the South Bend City Councilman Oliver Davis endorsed former Vice President Joe Biden in what several outlets viewed as a rejection of Mayor Pete. On Friday, Davis told Politico that he's happy to see someone representing Indiana on the national stage, but Biden offered more experience than the 37-year-old.","I-South Bend City Councilman ye-Oliver Davis akuthumela i-ex-Vice President ye-Joe Biden kwi-equality ye-Major Pete. I-February, i-Davis wathi i-Politico ukuthi sinikezela ukuthatha i-Indiana ye-National Scene, kodwa i-Biden akuthumela i-Experience ye-37 ye-Major Pete.","Ngeviki eledlule, u-Oliver David Ongumuntu Wasemkhandlwini weDolobha i-South Bend wesekele uSekela Mongameli uJoe Biden kulokho izikhungo eziningi ezikubone kuwukuchitha uSodolobha uPete. NgoLwesihlanu, uDavis utshele i-Politico ukuthi ukujabulele ukubona umuntu omele i-Indiana kuzwelonke, kodwa uBiden ubonakalise ukuba nesipiliyoni esiningi kunalo muntu oneminyaka engama-37.",0.1987524916530357
40,"However, the loss of two Labour first minsters - first the sudden death of Donald Dewar and then the resignation of Henry McLeish - followed by the lacklustre and lackadaisical administration of Jack McConnell and the catastrophic organisation of the 2007 elections - opened the door to an SNP minority government by the narrowest of margins.","Ngaphezu kwalokho, ukucaciswa kwe-Labour emangalisayo – emangalisayo ukucaciswa kwe-Donald Dewar futhi emangalisayo kwe-Henry McLeish – emva kwe-Jack McConnell's lacklustre and lackadaisical administration kanye ne-katastrophic organization of the 2007 elections – ingcaciswa kwe-SNP minority government by the smashest of margins.","Nokho, ukulahlekelwa ongqongqoshe bokuqala be-Labour - okokuqala kube wukudlula emhlabeni kukaDonald Dewar kanye nokushiya esikhundleni kukaHenry McLeish - kwalandelwa ukuphatha ngaphandle kogqozi kanye nokungazimiseli kukaJack McConnell kanye nokuhlelwa kokhetho okungahambanga kahle ngowezi-2007 - kwavulela uhulumeni we-SNP intuba yokungena ngezibalo ezincane kakhulu.",0.5003139935069204
41,"Following orders by the Pharaoh to drown all male Hebrew children in the river Nile, Moses' mother had given him away in the hopes that he would survive.","Ngemvume i-Faraoh kuqala ukucindezela zonke i-Ebraheli abahlobo e-Nile, ibhizinisi ye-Moses angaphendula kuhlobisa.","Emuva kwemiyalelo kaFaro yokuminzisa bonke abantwana bamaHebheru emfuleni iNile, unina kaMose wayephise ngaye ngethemba lokuthi uzophila.",0.0
42,Marshawn Lynch signs with Seahawks after year hiatus from NFL,I-Marshawn Lynch isikhumba nge-Seahawks emva kwe-NFL,UMarshawn Lynch usayine nama-Seahawks emuva konyaka engekho kwi-NFL,0.45782273986766686
43,"""After recording the murder, the attacker turns to the camera and says, """"I am appealing to all Hindu sisters that don't get into the trap of these jihadis.""","Ngemva kuquka yokuhambisa, i-aggressor akufaka ku-camera futhi wathi, ""Ungaphendula zonke i-hindu nezithombe zithombe zithombe zithombe zithombe. ""","""Emuva kokuqopha ukubulawa komuntu, umhlaseli uphendula ikhamera bese athi, """"Nginxusa bonke odadewethu bamaHindu abangangeni ogibeni lwalama jihadis.""",0.0
44,"Khalfe, who ran the 'Ozzie' drugs line, is already serving a 12-year sentence for conspiracy to supply drugs.","I-Khalfe, who run the 'Ozzie' drug line, kuyinto ku-condition for 12 years for conspiracy to supply drugs.","UKhalfe, owayehlinzeka 'ama-Ozzie ngezidakamizwa', sedonsa isigwebo seminyaka eyi-12 ngetulo lokuhlinzeka ngezidakamizwa. ",0.0
45,"""In a statement, H&R Block said it """"is proud to offer four free tax-filing options, including the IRS Free File program, our free online product, our MyFreeTaxes partnership with the United Way and our partnership with Military One Source.""","I-H&R Block wathi: ""Ukulinganiswa ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block ku-H&R Block.","""Esitatimendeni, i-H&R Block ithe, """"iyaziqhenya ngokuhlinzeka ngokune okungakhethwa maqondana nokuthumela amaphepha entela mahhala, okubandakanya uhlelo lwe-IRS Free File, umkhiqizo wethu waku-inthanethi wamahhala, ubudlelwano bethu be-MyFreeTaxes nge-United Way kanye nobudlelwano bethu ne-Military One Source.""",0.3976353643835253
46,"""Beyond Buzz, the rest of Kevin's family are pretty atrocious to him; in the first film in the franchise, Kevin is called a """"disease,"""" referred to as """"les incompétents"""" and is also dubbed a """"little jerk"""" by his uncle.""","""Beyond Buzz, ukuguqulwa kwe-Kevin kuyinto ngokushesha kwangaphambili; ku-Film ye-Franchise, i-Kevin kuyinto ""i-Disease"","" kuyinto ""i-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I.","""I-Beyond Buzz, bonke abantu bomndeni kaKevin bayamxaka; efilimini yokuqala kulolu chunguchunge, uKevin ubizwa ngokuthi """"uyisifo,"""" esibizwa ngokuthi """"i-les incompétents"""" futhi umalume wakhe umbiza ngokuthi """"isiphukuphuku esincane"""".  """,0.2042652752576575
47,"""In a statement to CNBC, United Technologies said, """"We are confident that our shareholders will see the merits of this transaction and the value it brings to them and the company. We will be working diligently in the days and weeks ahead to make sure that the details of the transaction are presented to and fully understood by all shareholders.""""""","I-CNBC, i-United Technologies wathi, ""Sikwazi ukuthi akhole zethu uya kufumana imiphumela ye-transaction kanye ne-value it brings to them and the company. Sishayele ngokushesha ku-days and weeks ahead to make sure that the details of the transaction are presented to and fully understood by all shareholders.""","""Esitatimendeni ebesibhekiswe kwi-CNBC, i-United Technologies ithe, """"Siyethemba ukuthi abaninizabelo bethu bazokubona okuvuna leli phuzu kanye nenzuzo etholwa yibo kanye nenkampani ngayo. Sizobe sisebenza ngokuzimisela ngezinsuku nangamaviki ezayo ukuqinisekisa ukuthi imininingwane yokuvunyelwana ngakho iyathulwa futhi iqondwe ngokugcwele yibo bonke abaninizabelo.""""""",0.21200626759025185
48,sunshine when we arrived in Australia.,I-Sunshine lapho ku-Australia.,ukukhanya kwelanga uma sifika e-Australia.,0.0
49,This resurgence of state intervention is intended to make European industries stronger.,Ukukhanyisa kwe-government isizindiza isizindiza isizindiza isizindiza e-Europe.,Lokhu kuqubuka kabusha kokungenelela kukahulumeni kuhloswe ngakho ukuqinisa izimboni zase-Europe.,0.0
